MILE 12 WARRIOR  |  The 70 Primary Keywords,,,,,,,,
One primary = one ranking target. Each has 6 versions on Tab 04. Winnability tiers replace volume/competition metrics by design.,,,,,,,,
,,,,,,,,
#,Primary Keyword,Cluster,Search Intent,Audience,Winnability,Target Page,Phase,Versions
1,truck driver fatigue management,Sleep & Fatigue,Informational — Problem/Solution,Driver,Tier 2,/fatigue-management,Phase 1,6
2,drowsy driving truck drivers,Sleep & Fatigue,Informational — Problem/Solution,Driver,Tier 2,/fatigue-management,Phase 1,6
3,how to stay awake driving long distance,Sleep & Fatigue,Informational — Problem/Solution,Driver,Tier 1,/fatigue-management,Phase 1,6
4,how to sleep in a semi truck,Sleep & Fatigue,Informational — Problem/Solution,Driver,Tier 1,/sleep-guide,Phase 1,6
5,truck driver sleep apnea,Sleep & Fatigue,Informational — Problem/Solution,Driver,Tier 2,/sleep-apnea,Phase 1,6
6,power nap for truck drivers,Sleep & Fatigue,Informational — Problem/Solution,Driver,Tier 1,/power-naps,Phase 1,6
7,driver fatigue warning signs,Sleep & Fatigue,Informational — Problem/Solution,Driver,Tier 1,/fatigue-management,Phase 1,6
8,best sleep schedule for OTR drivers,Sleep & Fatigue,Informational — Problem/Solution,Driver,Tier 1,/sleep-guide,Phase 2,6
9,hours of service rules explained,HOS & Compliance,Informational — Regulatory,Driver,Tier 3,/hours-of-service,Phase 1,6
10,HOS 14 hour rule,HOS & Compliance,Informational — Regulatory,Driver,Tier 3,/hours-of-service,Phase 1,6
11,11 hour driving limit,HOS & Compliance,Informational — Regulatory,Driver,Tier 3,/hours-of-service,Phase 1,6
12,30 minute break rule FMCSA,HOS & Compliance,Informational — Regulatory,Driver,Tier 2,/hos-violations,Phase 1,6
13,split sleeper berth rule,HOS & Compliance,Informational — Regulatory,Driver,Tier 2,/split-sleeper,Phase 1,6
14,most common HOS violations,HOS & Compliance,Informational — Regulatory,Driver,Tier 1,/hos-violations,Phase 1,6
15,CSA score explained,HOS & Compliance,Informational — Regulatory,Driver,Tier 2,/csa-score,Phase 2,6
16,pre-trip inspection checklist,HOS & Compliance,Informational — Regulatory,Driver,Tier 1,/pre-trip-inspection,Phase 1,6
17,truck driver back pain relief,Physical Health,Informational — Problem/Solution,Driver,Tier 1,/back-pain,Phase 1,6
18,exercises for truck drivers in cab,Physical Health,Informational — Problem/Solution,Driver,Tier 1,/cab-workouts,Phase 1,6
19,stretches for truck drivers,Physical Health,Informational — Problem/Solution,Driver,Tier 1,/back-pain,Phase 1,6
20,healthy eating for truck drivers,Physical Health,Informational — Problem/Solution,Driver,Tier 1,/nutrition,Phase 1,6
21,truck stop healthy food options,Physical Health,Informational — Problem/Solution,Driver,Tier 1,/nutrition,Phase 1,6
22,meal prep for truck drivers,Physical Health,Informational — Problem/Solution,Driver,Tier 1,/nutrition,Phase 2,6
23,truck driver health problems,Physical Health,Informational — Problem/Solution,Driver,Tier 2,/driver-health-risks,Phase 2,6
24,DOT physical requirements,Physical Health,Informational — Problem/Solution,Driver,Tier 2,/dot-physical,Phase 2,6
25,truck driver mental health,Mental Wellness,Informational — Problem/Solution,Driver,Tier 2,/mental-health,Phase 1,6
26,truck driver depression,Mental Wellness,Informational — Problem/Solution,Driver,Tier 2,/mental-health,Phase 1,6
27,loneliness on the road trucking,Mental Wellness,Informational — Problem/Solution,Driver,Tier 1,/loneliness,Phase 1,6
28,stress management for truck drivers,Mental Wellness,Informational — Problem/Solution,Driver,Tier 1,/stress-burnout,Phase 2,6
29,truck driver burnout,Mental Wellness,Informational — Problem/Solution,Driver,Tier 1,/stress-burnout,Phase 2,6
30,truck driver anxiety,Mental Wellness,Informational — Problem/Solution,Driver,Tier 1,/mental-health,Phase 2,6
31,mental health resources for truck drivers,Mental Wellness,Informational — Problem/Solution,Driver,Tier 1,/mental-health,Phase 1,6
32,defensive driving tips for truck drivers,Defensive Driving,Informational — How-to,Driver,Tier 2,/defensive-driving,Phase 1,6
33,following distance semi truck,Defensive Driving,Informational — How-to,Driver,Tier 2,/defensive-driving,Phase 1,6
34,blind spot management semi truck,Defensive Driving,Informational — How-to,Driver,Tier 1,/defensive-driving,Phase 2,6
35,night driving safety tips trucks,Defensive Driving,Informational — How-to,Driver,Tier 1,/night-driving,Phase 2,6
36,how to handle a tire blowout semi truck,Defensive Driving,Informational — How-to,Driver,Tier 1,/tire-blowout,Phase 1,6
37,distracted driving truck drivers,Defensive Driving,Informational — How-to,Driver,Tier 1,/defensive-driving,Phase 2,6
38,winter driving tips truck drivers,Road & Weather,Informational — How-to,Driver,Tier 2,/winter-driving,Phase 2,6
39,black ice driving tips,Road & Weather,Informational — How-to,Driver,Tier 2,/winter-driving,Phase 2,6
40,driving in fog safety tips,Road & Weather,Informational — How-to,Driver,Tier 1,/fog-and-wind,Phase 2,6
41,chain laws by state trucking,Road & Weather,Informational — How-to,Driver,Tier 2,/winter-driving,Phase 2,6
42,crosswind driving empty trailer,Road & Weather,Informational — How-to,Driver,Tier 1,/fog-and-wind,Phase 2,6
43,construction zone safety trucking,Road & Weather,Informational — How-to,Driver,Tier 1,/road-hazards,Phase 2,6
44,truck breakdown kit checklist,Emergency Prep,Informational — Checklist / Download,Driver,Tier 1,/breakdown-kit,Phase 1,6
45,first aid kit for truck drivers,Emergency Prep,Informational — Checklist / Download,Driver,Tier 1,/roadside-safety,Phase 2,6
46,warning triangle placement rules,Emergency Prep,Informational — Checklist / Download,Driver,Tier 1,/breakdown-kit,Phase 1,6
47,what to do after a truck accident,Emergency Prep,Informational — Checklist / Download,Driver,Tier 2,/roadside-safety,Phase 2,6
48,roadside emergency procedure truck,Emergency Prep,Informational — Checklist / Download,Driver,Tier 1,/roadside-safety,Phase 2,6
49,first 90 days as a truck driver,New Driver,Informational — Guide,New Driver,Tier 1,/new-driver,Phase 1,6
50,new truck driver tips,New Driver,Informational — Guide,New Driver,Tier 1,/new-driver,Phase 1,6
51,rookie truck driver mistakes,New Driver,Informational — Guide,New Driver,Tier 1,/new-driver,Phase 1,6
52,what to pack for OTR trucking,New Driver,Informational — Guide,New Driver,Tier 1,/what-to-pack,Phase 1,6
53,truck driver orientation what to expect,New Driver,Informational — Guide,New Driver,Tier 1,/orientation,Phase 2,6
54,cab organization ideas truckers,New Driver,Informational — Guide,New Driver,Tier 1,/what-to-pack,Phase 2,6
55,fleet driver safety training program,Fleet & B2B,Commercial,Fleet Safety Director,Tier 1,/fleet-safety-packets,Phase 1,6
56,new hire orientation packet trucking,Fleet & B2B,Commercial,Fleet Safety Director,Tier 1,/fleet-safety-packets,Phase 1,6
57,driver wellness program for fleets,Fleet & B2B,Commercial,Fleet Safety Director,Tier 2,/driver-wellness-program,Phase 2,6
58,annual driver refresher training requirements,Fleet & B2B,Commercial,Fleet Safety Director,Tier 2,/fleet-refresher,Phase 2,6
59,safety meeting topics for truck drivers,Fleet & B2B,Commercial,Fleet Safety Director,Tier 1,/fleet-refresher,Phase 2,6
60,how to reduce driver turnover,Fleet & B2B,Commercial,Fleet Safety Director,Tier 2,/driver-wellness-program,Phase 2,6
61,how to support a truck driver spouse,Family Support,Informational — Support,Family / Friends,Tier 1,/social-butterflies,Phase 1,6
62,truck driver wife advice,Family Support,Informational — Support,Family / Friends,Tier 1,/social-butterflies,Phase 1,6
63,long distance relationship truck driver,Family Support,Informational — Support,Family / Friends,Tier 1,/social-butterflies,Phase 2,6
64,staying connected while trucking,Family Support,Informational — Support,Family / Friends,Tier 1,/family-connection,Phase 2,6
65,gift ideas for truck drivers,Family Support,Informational — Support,Family / Friends,Tier 1,/gifts-for-drivers,Phase 3,6
66,California trucking regulations,Local / California,Local Informational,Driver,Tier 1,/california-regulations,Phase 2,6
67,truck driver resources Sacramento,Local / California,Local Informational,Driver,Tier 1,/sacramento,Phase 3,6
68,truck driver work life balance,Career & Lifestyle,Informational — Career,Driver,Tier 2,/career-longevity,Phase 3,6
69,truck driver career longevity,Career & Lifestyle,Informational — Career,Driver,Tier 2,/career-longevity,Phase 3,6
70,truck driver forum online,Brand & Community,Navigational / Community,Driver / Community,Tier 1,/forum,Phase 2,6
,,,,,,,,
"Book a strategy call with Thomas D'Souza (Senior Partner, RSM): https://calendly.com/thomas-relevant-search-media/30min  |  thomas@relevantsearchmedia.com  |  +1 202 609 6641",,,,,,,,
